id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
26568,VILD,medium_airport,Ludhiana Airport,30.854.700.088.500.900,7.595.259.857.177.730,834,AS,India,IN,Punjab,IN-PB,PB,,0,VILD,LUH,,,https://en.wikipedia.org/wiki/Sahnewal_Airport,,250,2008-06-13T14:30:04+00:00
26432,VAAK,medium_airport,Akola Airport,20.698.931,77.056.883,999,AS,India,IN,Maharashtra,IN-MM,MM,Akola,0,VAAK,AKD,,,https://en.wikipedia.org/wiki/Akola_Airport,Shioni Airport,250,2021-03-09T12:20:46+00:00
43966,IN-0011,medium_airport,Jakkur Aerodrome,1.307.674,77.597.645,3013,AS,India,IN,Karnataka,IN-KA,KA,Bengaluru,0,VOJK,,,,https://en.wikipedia.org/wiki/Jakkur_Aerodrome,,250,2022-09-20T14:11:02+00:00
26543,VIBK,medium_airport,Nal Airport,28.070.601,73.207.199,750,AS,India,IN,Rajasthan,IN-RJ,RJ,Bikaner,0,VIBK,BKB,,,https://en.wikipedia.org/wiki/Bikaner_Airport,Nal Air Force Station,250,2024-04-07T16:03:14+00:00
3343,VO94,medium_airport,Campbell Bay Airport / INS Baaz,701.304,93.922.798,16,AS,India,IN,Andaman and Nicobar Islands,IN-AN,AN,Campbell Bay,0,VOBX,,,,,VO94,250,2021-08-20T16:51:09+00:00
26441,VADN,medium_airport,Daman Airport,20.434.401,72.843.201,33,AS,India,IN,Dadra and Nagar Haveli and Daman and Diu,IN-DH,DH,Daman,0,VADN,NMB,,,https://en.wikipedia.org/wiki/Daman_Airport,,250,2021-03-08T16:29:33+00:00
26612,VOCX,medium_airport,Car Nicobar Air Force Base,9.153.056,92.819.273,5,AS,India,IN,Andaman and Nicobar Islands,IN-AN,AN,IAF Camp,0,VOCX,CBD,,,https://en.wikipedia.org/wiki/Car_Nicobar_Air_Force_Base,Carnicobar,250,2021-08-20T16:40:18+00:00
3312,VE44,medium_airport,Hashimara Air Force Station,26.698.299,89.369.102,340,AS,India,IN,West Bengal,IN-WB,WB,Jalpaiguri,0,VEHX,,VE44,,https://en.wikipedia.org/wiki/Hasimara_Air_Force_Station,,250,2024-04-10T19:37:52+00:00
350147,VEKI,medium_airport,Kushinagar International Airport,26.776.534,83.889.214,266,AS,India,IN,Uttar Pradesh,IN-UP,UP,Kushinagar,0,VEKI,KBK,,,https://en.wikipedia.org/wiki/Kushinagar_International_Airport,,250,2021-12-02T20:16:26+00:00
26514,VEMZ,medium_airport,Muzaffarpur Airport,26.119.101,85.313.698,174,AS,India,IN,Bihar,IN-BR,BR,Muzaffarpur,0,VEMZ,MZU,,,https://en.wikipedia.org/wiki/Muzaffarpur_Airport,,250,2024-04-07T16:00:15+00:00
26624,VOSM,medium_airport,Salem Airport,1.178.330.039.978,7.806.559.753.418,1008,AS,India,IN,Tamil Nadu,IN-TN,TN,Salem,0,VOSM,SXV,,,https://en.wikipedia.org/wiki/Salem_Airport_(India),,250,2015-08-07T14:23:43+00:00
354545,IN-0301,medium_airport,Rashtrakavi Kuvempu Airport,13.858.024,75.618.868,2017,AS,India,IN,Karnataka,IN-KA,KA,Shimoga,0,VOSH,RQY,,https://web.archive.org/web/20240204161112/https://ksiidc.karnataka.gov.in/new-page/ShivamoggaAirport/en,https://en.wikipedia.org/wiki/Shivamogga_Airport,"Sogane, Shivamogga",250,2024-02-06T10:16:53+00:00
26460,VASL,medium_airport,Solapur Airport,176.280.002.594,7.593.479.919.430.000,1584,AS,India,IN,Maharashtra,IN-MM,MM,Solapur,0,VASL,SSE,,,https://en.wikipedia.org/wiki/Solapur_Airport,Sholapur,250,2012-10-22T21:27:15+00:00
508630,IN-0369,medium_airport,Sant Gadge Baba Yavatmal Airport,20.395.781,78.216.272,1403,AS,India,IN,Maharashtra,IN-MM,MM,Yavatmal,0,,,VA78,,https://en.wikipedia.org/wiki/Sant_Gadge_Baba_Yavatmal_Airport,,250,2023-05-17T17:31:04+00:00
26524,VEZO,medium_airport,Ziro Airport,27.588.301,93.828.102,5403,AS,India,IN,Arunachal Pradesh,IN-AR,AR,Ziro,0,VEZO,ZER,,,https://en.wikipedia.org/wiki/Zero_Airport,,250,2018-04-30T12:08:30+00:00
26443,VAGN,small_airport,Guna Airport,24.654.699,77.347.298,1600,AS,India,IN,Madhya Pradesh,IN-MP,MP,,0,VAGN,GUX,,,,,150,2022-01-21T13:01:40+00:00
26579,VIST,small_airport,Satna Airport,2.456.262,80.852.927,1060,AS,India,IN,Madhya Pradesh,IN-MP,MP,,1,VEST,TNI,,https://www.aai.aero/en/airports/satna,https://en.wikipedia.org/wiki/Satna_Airport,VIST,150,2022-06-26T04:12:19+00:00
26566,VIKA,small_airport,Kanpur Civil Airport (Old),26.440.857,80.365.029,411,AS,India,IN,Uttar Pradesh,IN-UP,UP,Kanpur,0,VIKA,,,,,KNU,150,2024-04-01T12:41:44+00:00
26542,VIAX,small_airport,Adampur Airport,314.338,75.758.797,775,AS,India,IN,Punjab,IN-PB,PB,Adampur,1,VIAX,AIP,,,https://en.wikipedia.org/wiki/Adampur_Air_Force_Base,Adampur Air Force Station,100,2018-05-19T18:45:26+00:00
298454,VIAH,small_airport,Aligarh Airport,27.861.437,78.145.404,619,AS,India,IN,Uttar Pradesh,IN-UP,UP,Aligarh,1,VIAH,HRH,,,https://en.wikipedia.org/wiki/Aligarh_Airport,Dhanipur,100,2024-05-15T06:55:35+00:00
520373,IN-0376,small_airport,Utkela Airport,20.097.778,83.183.333,685,AS,India,IN,Odisha,IN-OR,OR,Bhawanipatna,1,,UKE,,,https://en.wikipedia.org/wiki/Utkela_Airport,,100,2024-02-04T10:02:59+00:00
331218,IN-0107,closed,Sindhudurg Airport,16.002.552,73.529.846,203,AS,India,IN,Maharashtra,IN-MM,MM,Chipi,1,,,,,https://en.wikipedia.org/wiki/Sindhudurg_Airport,VA85,100,2023-05-02T01:21:26+00:00
506610,VOGB,small_airport,Kalaburagi Airport,17.308.154,76.965.246,1571,AS,India,IN,Karnataka,IN-KA,KA,Kalaburagi,1,VOGB,GBI,,,https://en.wikipedia.org/wiki/Kalaburagi_Airport,Gulbarga,100,2023-02-22T20:13:37+00:00
525168,VISV,small_airport,Shravasti Airport,27.499.732,82.032.927,366,AS,India,IN,Uttar Pradesh,IN-UP,UP,Shravasti,1,VISV,VSV,,,https://en.wikipedia.org/wiki/Shravasti_Airport,,100,2024-08-21T13:04:16+00:00
300715,IN-0069,small_airport,Sultanpur Airport,262.475,820.425,,AS,India,IN,Uttar Pradesh,IN-UP,UP,Sultanpur,1,VESL,,,,https://en.wikipedia.org/wiki/Amhat_Airstrip,"VISL, Amhat Airstrip",100,2021-05-07T16:48:46+00:00
3342,VO80,small_airport,Tuticorin Airport,8.724.241,78.025.803,129,AS,India,IN,Tamil Nadu,IN-TN,TN,Vagaikulam,1,VOTK,TCR,,,https://en.wikipedia.org/wiki/Tuticorin_Airport,"VO80, Tuticorin Southwest Airport, Thoothukudi",100,2021-01-25T20:14:10+00:00
3320,VE91,small_airport,Vijaynagar Advanced Landing Ground,271.935.997.009,9.700.370.025.630.000,4167,AS,India,IN,Arunachal Pradesh,IN-AR,AR,,0,VE91,,VE91,,,,50,2010-03-15T23:54:54+00:00
42731,IN-0010,small_airport,Walong Advanced Landing Ground,2.812.967.300.415,97.019.660.949.707,,AS,India,IN,Arunachal Pradesh,IN-AR,AR,,0,,,,,https://en.wikipedia.org/wiki/Walong,,50,2015-11-29T01:00:22+00:00
3315,VE54,small_airport,Daltonganj Airport,2.401.930.046.081.540,8.409.510.040.283.200,803,AS,India,IN,Bihar,IN-BR,BR,,0,VE54,,VE54,,,,50,2008-06-13T14:30:04+00:00
30325,VERL,small_airport,Raxaul Airport,269.667,84.833.298,259,AS,India,IN,Bihar,IN-BR,BR,,0,VERL,,,,https://en.wikipedia.org/wiki/Raxaul_Airport,,50,2024-06-07T09:58:17+00:00
